Quarter,DAL,AAL,ALK,JBLU,V,PYPL,MA,KO,CMG,SBUX,SHAK,CAKE,AMZN,SHOP,SQ,W,ETSY,TGT,LULU,BBY,TJX,DLTR,TWTR,SNAP,INTC,QCOM,SWKS,MU,AMD,QRVO,AVGO,TEAM,FB,SPOT,AAPL,BAH,CSCO,ZM,CRM,ADBE,UBER,WORK,DBX,DOCU,NVDA,SPLK,LYFT,TTWO
Q1E,10410,10600,1880,1870,5410,4130,3850,7900,1270,6320,127.22,604.41,59690,309.88,479.36,1920,170.08,17430,756.25,9140,9210,5780,775.22,307.52,16060,4800,809.95,4680,1260,670.6,5670,304.61,14970,1470,57490,5350,12860,115.33,3680,2700,2750,134.82,381.57,208,2190,395,738.5,508.65
Q1A,10470,10580,1880,1870,5510,4130,3890,8020,1310,6310,132.61,599.48,59700,320.48,489.05,1940,169.34,17400,782.32,9140,9280,5810,786.89,320.43,16060,4880,810.4,4790,1270,680.88,5520,309.27,15080,1510,58020,5410,12960,121.99,3740,2740,2760,134.82,385.6,213.96,2220,424.85,776.03,488.41
Q2E,12500,11960,2280,2100,5470,4320,4080,9990,1410,6670,149.55,596.83,62460,350.5,557.82,2260,183,18250,845.3,9560,9900,5720,829.25,360.72,15880,5100,765.58,4560,1520,739.06,5520,330.61,16490,1640,53350,5710,13370,130.36,3950,2820,3050,141.55,401,220.7,2540,488.03,809.34,357.06
Q2A,12540,11960,2290,2110,5490,4310,4110,10000,1430,6820,152.71,602.65,63400,361.98,562.8,2340,181.1,18420,883.35,9540,9780,5740,841.38,388.02,16510,4890,767,4870,1530,775.6,5520,334.59,16890,1670,53810,5800,13430,145.83,4000,2830,2870,144.97,401.5,235.61,2580,516.56,867.27,422.24
Q3E,12610,11950,2380,2070,5700,4350,4420,9430,1380,6690,157.92,596.83,68700,383.77,597.07,2280,193.29,18220,899.44,9700,10300,5740,875.62,437.94,18030,4710,825.29,5000,1810,754.72,5730,351.72,17350,1720,63010,6210,13100,155.8,4450,2970,3390,156.23,423.62,239.73,2910,603.73,916.19,922.35
Q3A,12550,11910,2390,2090,5840,4380,4470,9500,1400,6750,157.76,586.54,69980,390.54,602.22,2310,197.95,18410,916.14,9760,10450,5750,823.72,446.2,19190,4800,827.4,5140,1800,806.7,5780,363.39,17650,1730,64040,6170,13160,166.59,4510,2990,3530,168.73,428.2,249.5,3010,626.34,916.6,950.52
Q4E,11340,11310,2220,2030,6080,4940,4400,8880,1400,7110,153.13,664.12,86170,481.58,593.37,2520,264.81,23440,1380,15050,11840,6390,994.49,562.15,19220,4830,880.9,4690,2110,849.81,6010,388.67,20890,1890,88410,6660,12050,175.82,4750,3040,3700,173.46,443.31,266.5,2970,782.22,985.77,928.32
Q4A,11440,11310,2230,2030,6140,4960,4410,9090,1440,7100,151.44,694.03,87440,505.16,615.69,2530,270,23130,1400,15200,12210,6320,1010,560.89,20200,5060,896.1,4800,2130,869.07,5860,408.73,21080,1860,91820,6700,12010,188.25,4850,3090,3730,181.9,446,274.9,3110,791.18,1020,888.18
Q12E,9000,8820,1660,1640,6070,4720,3980,8250,1400,5890,145.06,617.5,73740,443.22,1310,2300,229.25,18750,690.93,8220,5130,6150,772.88,420.79,18820,5020,761.86,5300,1770,764.58,5710,394.44,17270,1850,54250,7440,11850,203,4840,3160,3020,187,452.17,281.27,3000,444.9,835.13,581.43
Q12A,8590,8520,1640,1590,6050,4620,4010,8570,1410,6000,143.17,615.11,75450,470,1380,2330,228.06,19370,651.96,8560,4410,6290,807.64,462.48,19280,5210,766.1,5440,1790,787.77,5740,411.58,17740,1850,58310,7460,11980,328.17,4870,3130,3260,201.65,455,297.02,3080,434.08,955.71,729.42
